matrix_id,npz_file,npz_key,shape,dtype,unit,row_layout_id_optional,column_layout_id_optional,derivation_source,description,quality_flag,measurement_checkpoint_id_optional,operator_set_id_optional,data_nature,engineering_claim_allowed,future_part_id_optional,reference_sms_id_optional,mapping_semantics_optional,mapping_role_optional,probability_interpretation_allowed
CN_OP_TS304,multi_part_matrices.npz,CN_OP_TS304,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_PRECOMPUTED_TOPOLOGY_STEP_OPERATOR,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
COV_MEAS_SYNTH,multi_part_matrices.npz,COV_MEAS_SYNTH,"[1,1]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
COV_SENSOR_SYNTH,multi_part_matrices.npz,COV_SENSOR_SYNTH,"[1,1]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
COV_SMS_BRACKET,multi_part_matrices.npz,COV_SMS_BRACKET,"[1,1]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
COV_SMS_PANEL,multi_part_matrices.npz,COV_SMS_PANEL,"[1,1]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
COV_SMS_RIB,multi_part_matrices.npz,COV_SMS_RIB,"[1,1]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
COV_SMS_SPAR,multi_part_matrices.npz,COV_SMS_SPAR,"[1,1]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
C_FIXTURE_SYNTH,multi_part_matrices.npz,C_FIXTURE_SYNTH,"[1,1]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
D_CMD_CLAMP_02,multi_part_matrices.npz,D_CMD_CLAMP_02,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
D_CMD_JOIN_03,multi_part_matrices.npz,D_CMD_JOIN_03,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
D_CMD_LOCATE_01,multi_part_matrices.npz,D_CMD_LOCATE_01,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
D_CMD_RELEASE_04,multi_part_matrices.npz,D_CMD_RELEASE_04,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
ETA_PRIOR_MCP_AFTER_ABC,multi_part_matrices.npz,ETA_PRIOR_MCP_AFTER_ABC,[2],float64,mixed_by_update_state_component,ETA_STAGE_AFTER_ABC_2,,SYNTHETIC_LOW_DIMENSIONAL_STATE_MODEL,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,MCP_AFTER_ABC,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
F_UPDATE_IDENTITY_2,multi_part_matrices.npz,F_UPDATE_IDENTITY_2,"[2,2]",float64,mixed_by_update_state_component,ETA_STAGE_AFTER_ABC_2,ETA_STAGE_AFTER_ABC_2,SYNTHETIC_LOW_DIMENSIONAL_STATE_MODEL,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,MCP_AFTER_ABC,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
GAP_CLAMP_02,multi_part_matrices.npz,GAP_CLAMP_02,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
GAP_JOIN_03,multi_part_matrices.npz,GAP_JOIN_03,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
GAP_LOCATE_01,multi_part_matrices.npz,GAP_LOCATE_01,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
GAP_RELEASE_04,multi_part_matrices.npz,GAP_RELEASE_04,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
G_EXT_ALL,multi_part_matrices.npz,G_EXT_ALL,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
G_GAP_AB,multi_part_matrices.npz,G_GAP_AB,"[3,4]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
G_GAP_AD,multi_part_matrices.npz,G_GAP_AD,"[3,4]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
G_GAP_BC,multi_part_matrices.npz,G_GAP_BC,"[3,4]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
G_GAP_BD,multi_part_matrices.npz,G_GAP_BD,"[3,4]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
G_Q_UPDATE__MCP_AFTER_ABC__OP_TS204,multi_part_matrices.npz,G_Q_UPDATE__MCP_AFTER_ABC__OP_TS204,"[12,2]",float64,mm_per_update_state_unit,VL_CONTACT_ALL_12,ETA_STAGE_AFTER_ABC_2,SYNTHETIC_EXPLICIT_STATE_TO_Q_MAPPING,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,MCP_AFTER_ABC,OP_TS204,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
G_Q_UPDATE__MCP_AFTER_ABC__OP_TS301,multi_part_matrices.npz,G_Q_UPDATE__MCP_AFTER_ABC__OP_TS301,"[12,2]",float64,mm_per_update_state_unit,VL_CONTACT_ALL_12,ETA_STAGE_AFTER_ABC_2,SYNTHETIC_EXPLICIT_STATE_TO_Q_MAPPING,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,MCP_AFTER_ABC,OP_TS301,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
G_Q_UPDATE__MCP_AFTER_ABC__OP_TS302,multi_part_matrices.npz,G_Q_UPDATE__MCP_AFTER_ABC__OP_TS302,"[12,2]",float64,mm_per_update_state_unit,VL_CONTACT_ALL_12,ETA_STAGE_AFTER_ABC_2,SYNTHETIC_EXPLICIT_STATE_TO_Q_MAPPING,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,MCP_AFTER_ABC,OP_TS302,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
G_Q_UPDATE__MCP_AFTER_ABC__OP_TS303,multi_part_matrices.npz,G_Q_UPDATE__MCP_AFTER_ABC__OP_TS303,"[12,2]",float64,mm_per_update_state_unit,VL_CONTACT_ALL_12,ETA_STAGE_AFTER_ABC_2,SYNTHETIC_EXPLICIT_STATE_TO_Q_MAPPING,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,MCP_AFTER_ABC,OP_TS303,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
G_Q_UPDATE__MCP_AFTER_ABC__OP_TS304,multi_part_matrices.npz,G_Q_UPDATE__MCP_AFTER_ABC__OP_TS304,"[12,2]",float64,mm_per_update_state_unit,VL_CONTACT_ALL_12,ETA_STAGE_AFTER_ABC_2,SYNTHETIC_EXPLICIT_STATE_TO_Q_MAPPING,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,MCP_AFTER_ABC,OP_TS304,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
H_M_BRACKET,multi_part_matrices.npz,H_M_BRACKET,"[1,3]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
H_M_PANEL,multi_part_matrices.npz,H_M_PANEL,"[1,3]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
H_M_RIB,multi_part_matrices.npz,H_M_RIB,"[1,3]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
H_M_SPAR,multi_part_matrices.npz,H_M_SPAR,"[1,3]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
H_OBS_MCP_AFTER_ABC,multi_part_matrices.npz,H_OBS_MCP_AFTER_ABC,"[2,2]",float64,mixed_by_observation_definition,OBS_MCP_AFTER_ABC_2,ETA_STAGE_AFTER_ABC_2,INDEPENDENT_GLOBAL_LCP_CENTRAL_FINITE_DIFFERENCE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,MCP_AFTER_ABC,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
J_INTERFACE_ALL,multi_part_matrices.npz,J_INTERFACE_ALL,"[3,12]",float64,mixed_by_object_definition,,VL_CONTACT_ALL_12,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
J_PART_ALL,multi_part_matrices.npz,J_PART_ALL,"[3,24]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
J_PROCESS_ALL,multi_part_matrices.npz,J_PROCESS_ALL,"[3,3]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
KJ_ALL,multi_part_matrices.npz,KJ_ALL,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
KJ_JNT_AB,multi_part_matrices.npz,KJ_JNT_AB,"[1,1]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
KJ_JNT_AD,multi_part_matrices.npz,KJ_JNT_AD,"[1,1]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
KJ_JNT_BC,multi_part_matrices.npz,KJ_JNT_BC,"[1,1]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
KJ_JNT_DB,multi_part_matrices.npz,KJ_JNT_DB,"[1,1]",float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
K_GAMMA_CLAMP_02,multi_part_matrices.npz,K_GAMMA_CLAMP_02,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
K_GAMMA_JOIN_03,multi_part_matrices.npz,K_GAMMA_JOIN_03,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
K_GAMMA_LOCATE_01,multi_part_matrices.npz,K_GAMMA_LOCATE_01,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
K_GAMMA_RELEASE_04,multi_part_matrices.npz,K_GAMMA_RELEASE_04,"[12,12]",float64,mixed_by_object_definition,VL_CONTACT_ALL_12,VL_CONTACT_ALL_12,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
LAMBDA_CLAMP_02,multi_part_matrices.npz,LAMBDA_CLAMP_02,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
LAMBDA_JOIN_03,multi_part_matrices.npz,LAMBDA_JOIN_03,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
LAMBDA_LOCATE_01,multi_part_matrices.npz,LAMBDA_LOCATE_01,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
LAMBDA_RELEASE_04,multi_part_matrices.npz,LAMBDA_RELEASE_04,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
LOCAL_COMPRESSION_CLAMP_02,multi_part_matrices.npz,LOCAL_COMPRESSION_CLAMP_02,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
LOCAL_COMPRESSION_JOIN_03,multi_part_matrices.npz,LOCAL_COMPRESSION_JOIN_03,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
LOCAL_COMPRESSION_LOCATE_01,multi_part_matrices.npz,LOCAL_COMPRESSION_LOCATE_01,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
LOCAL_COMPRESSION_RELEASE_04,multi_part_matrices.npz,LOCAL_COMPRESSION_RELEASE_04,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
PREDICTED_KCP_MULTIPART,multi_part_matrices.npz,PREDICTED_KCP_MULTIPART,[3],float64,mixed_by_object_definition,,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
PRESSURE_CLAMP_02,multi_part_matrices.npz,PRESSURE_CLAMP_02,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
PRESSURE_JOIN_03,multi_part_matrices.npz,PRESSURE_JOIN_03,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
PRESSURE_LOCATE_01,multi_part_matrices.npz,PRESSURE_LOCATE_01,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
PRESSURE_RELEASE_04,multi_part_matrices.npz,PRESSURE_RELEASE_04,[12],float64,mixed_by_object_definition,VL_CONTACT_ALL_12,,SYNTHETIC_COUPLED_SPD_FIXTURE,Synthetic numerical-consistency matrix; not engineering measurement or online FE output.,PASS,,,SYNTHETIC_NUMERICAL_CONSISTENCY_CASE,False,,,,,
